[2024-12-14 01:10:05] Blacklist/Whitelist refresh thread started.
[2024-12-14 01:10:05] Cache cleanup thread started.
[2024-12-14 01:10:05] Active connections monitoring started.
[2024-12-14 01:10:05] Proxy server running on 127.0.0.1:9090
[2024-12-14 01:15:30] Server stopped by user.
[2024-12-14 01:15:30] Server socket closed.
[2024-12-14 01:15:30] Proxy server shutdown complete.
[2024-12-14 01:15:41] Blacklist/Whitelist refresh thread started.
[2024-12-14 01:15:41] Cache cleanup thread started.
[2024-12-14 01:15:41] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:15:41] Proxy monitoring thread started.
[2024-12-14 01:15:41] Proxy server running on 127.0.0.1:9090
[2024-12-14 01:15:51] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:16:01] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:16:11] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:16:20] Accepted connection from ('127.0.0.1', 58298)
[2024-12-14 01:16:20] New connection. Active connections: 1
[2024-12-14 01:16:20] Client connected: 127.0.0.1:58298
[2024-12-14 01:16:20] Request parsed: Method=GET, URL=/about, Host=None, Port=80
[2024-12-14 01:16:20] Request blocked: None is not in the whitelist
[2024-12-14 01:16:20] Blocked request to None due to whitelist/blacklist restrictions.
[2024-12-14 01:16:20] Sent 403 Forbidden response to client
[2024-12-14 01:16:20] Client connection closed after rejection.
[2024-12-14 01:16:20] Connection closed. Active connections: 0
[2024-12-14 01:16:21] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:16:31] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:16:41] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:16:51] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:17:01] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:17:11] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:17:21] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:17:31] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:17:41] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:17:51] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:18:01] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:18:11] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:18:21] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:18:31] Monitoring: Active connections: 0, Cache size: 0
